,0
AR.districts.Upper Dibang Valley.delta7.vaccinated2,11
AR.districts.Upper Dibang Valley.meta.population,7948
AR.districts.Upper Dibang Valley.meta.tested.date,2021-01-28
AR.districts.Upper Dibang Valley.total.confirmed,337
AR.districts.Upper Dibang Valley.total.deceased,2
AR.districts.Upper Dibang Valley.total.recovered,335
AR.districts.Upper Dibang Valley.total.tested,1910
AR.districts.Upper Dibang Valley.total.vaccinated1,4156
AR.districts.Upper Dibang Valley.total.vaccinated2,2603
AR.districts.Upper Siang.delta21_14.confirmed,2
AR.districts.Upper Siang.delta7.recovered,2
AR.districts.Upper Siang.delta7.vaccinated1,38
AR.districts.Upper Siang.delta7.vaccinated2,411
AR.districts.Upper Siang.meta.population,35289
AR.districts.Upper Siang.meta.tested.date,2021-01-28
AR.districts.Upper Siang.total.confirmed,1016
AR.districts.Upper Siang.total.deceased,1
AR.districts.Upper Siang.total.recovered,1015
AR.districts.Upper Siang.total.tested,6564
AR.districts.Upper Siang.total.vaccinated1,18594
AR.districts.Upper Siang.total.vaccinated2,13671
AR.districts.Upper Subansiri.delta7.vaccinated1,93
AR.districts.Upper Subansiri.delta7.vaccinated2,1122
AR.districts.Upper Subansiri.meta.population,83205
AR.districts.Upper Subansiri.meta.tested.date,2021-01-28
AR.districts.Upper Subansiri.total.confirmed,1958
AR.districts.Upper Subansiri.total.deceased,6
AR.districts.Upper Subansiri.total.recovered,1952
AR.districts.Upper Subansiri.total.tested,6217
AR.districts.Upper Subansiri.total.vaccinated1,24842
AR.districts.Upper Subansiri.total.vaccinated2,16390
AR.districts.West Kameng.delta.recovered,7
AR.districts.West Kameng.delta.vaccinated1,15
AR.districts.West Kameng.delta.vaccinated2,89
AR.districts.West Kameng.delta21_14.confirmed,17
AR.districts.West Kameng.delta7.confirmed,1
AR.districts.West Kameng.delta7.recovered,21
AR.districts.West Kameng.delta7.vaccinated1,206
AR.districts.West Kameng.delta7.vaccinated2,1914
AR.districts.West Kameng.meta.population,87013
AR.districts.West Kameng.meta.tested.date,2021-01-28
AR.districts.West Kameng.total.confirmed,3545
AR.districts.West Kameng.total.deceased,14
